county,name,hospital_sn,abbr_zh,英文縮寫,URL,scraper,author,verified_by,language,"#請先閱讀 https://g0v.hackpad.com/vtLwiUfYgcc"
,,,,,,,,,,
宜蘭縣,財團法人羅許基金會羅東博愛醫院,1434020015,博愛,,http://www.pohai.org.tw/pohai/index.php?option=com_wrapper&Itemid=2691,https://gist.github.com/lanfon72/b5e0e2299ae0180c16c7,lanf0n,johnny,py,
基隆市,長庚醫療財團法人基隆長庚紀念醫院,1111060015,基隆長庚,,https://www.cgmh.org.tw/bed/erd/index.asp?loc=2,https://gist.github.com/f40aab166fb536ae3e1b,t0m,johnny,py,
台北市,國泰醫療財團法人國泰綜合醫院,1101020018,國泰,,http://med.cgh.org.tw/unit/branch/Pharmacy/ebl/RealTimeInfoHQ.html,https://gist.github.com/lanfon72/3575509a8604f3bf7335,lanf0n,johnny,py,
台北市,財團法人臺灣基督長老教會馬偕紀念社會事業基金會馬偕紀念醫院,1101100011,台北馬偕,,https://trns.mmh.org.tw/WebEMR/Default.aspx,https://gist.github.com/t0mst0ne/fba18dcfd89b5ac69b9e,"t0mst0ne",,py,台北and馬偕：參考https://gist.github.com/thewayiam/e0538f4b6bcf90bade0f
新北市,(同上),1131100010,淡水馬偕,,https://trns.mmh.org.tw/WebEMR/Default.aspx,https://gist.github.com/lanfon72/7a43aedc8e8f7f63ca0a,lanf0n,,py,"combine by johnny: https://gist.github.com/thewayiam/e0538f4b6bcf90bade0f"
台北市,台北市立萬芳醫院,1301200010,萬芳,,http://www.wanfang.gov.tw/W402008web_new/epd_query.asp,https://gist.github.com/lanfon72/954b5d96ddf0e365f22f,lanf0n,johnny,py,
台北市,三軍總醫院附設民眾診療服務處,0501110514,三總,,http://www1.ndmctsgh.edu.tw/ErOnlineNews/ErOnLineData.aspx,https://gist.github.com/lanfon72/b2e1cb6fc4b2fb2d2957,lanf0n,,py,
台北市,台北榮民總醫院,0601160016,榮總,,https://www6.vghtpe.gov.tw/ERREALIFO/ERREALIFO.jsp,https://gist.github.com/lanfon72/b43d515d69041a1dae14,lanf0n,johnny,py,
台北市,國立臺灣大學醫學院附設醫院,0401180014,台大,,https://reg.ntuh.gov.tw/EmgInfoBoard/NTUHEmgInfo.aspx,https://gist.github.com/lanfon72/1938df3cb8f04ba125a5,lanf0n,,py,
台北市,新光醫療財團法人新光吳火獅紀念醫院,1101150011,新光,,https://regis.skh.org.tw/ERONLINE/INDEX.aspx,https://gist.github.com/cornguo/d6e862ae84c0b73be3a6,cornguo,,php,
新北市,衛生福利部雙和醫院,1331040513,雙和,,http://eng.shh.org.tw/ER_WEB/ER_WEB/,https://gist.github.com/lanfon72/47664f97f0f5dd1b2a74,lanf0n,,py,"fix values(bool, int, timestamp). (run at py2.7"
新北市,財團法人徐元智先生醫藥基金會附設亞東紀念醫院,1131010011,亞東,,http://www.femh.org.tw/research/news_op.aspx,https://gist.github.com/lanfon72/72001e0dba4d8ca4b6cd,lanf0n,,py,"fix values(bool, int, timestamp). (run at py2.7"
新北市,佛教慈濟醫療財團法人台北慈濟醫院,1131050515,台北慈濟,,http://app.tzuchi.com.tw/tchw/ERInfo/ERInformation.aspx,https://gist.github.com/cornguo/886eedd278aafb46ec99,cornguo,,php,
桃園縣,長庚醫療財團法人林口長庚紀念醫院,1132070011,林口長庚,,https://www.cgmh.org.tw/bed/erd/index.asp?loc=3,https://gist.github.com/cornguo/0c9c56931d1d4aa38758,cornguo,,php,
新竹縣,東元綜合醫院,1533050039,東元,,http://w3.tyh.com.tw/se_n_emergency.html,https://gist.github.com/lanfon72/e8cc945d48b7192164d2,lanf0n,,py,inserted 2016/3/1
台中市,中山醫學大學附設醫院,1317040011,中山醫大,,http://www.csh.org.tw/ER/index.aspx,https://gist.github.com/cornguo/379556c003ca7d149c03,cornguo,,php,
台中市,臺中榮民總醫院,0617060018,台中榮總,,http://www.vghtc.gov.tw/GipOpenWeb/wSite/sp?xdUrl=/wSite/query/Doctor/GetEmgBedInform.jsp&ctNode=55658&mp=1&idPath=213_55658,https://gist.github.com/cornguo/c3b97701f25acabb37fb,cornguo,,php,
台中市,中國醫藥大學附設醫院,1317050017,中國醫大,,http://61.66.117.8/EmrCount/Default.aspx,https://gist.github.com/cornguo/e357bade74728a63d7d6,cornguo,,php,
台中市,童綜合醫療社團法人童綜合醫院,0936060016,童綜,,http://www.sltung.com.tw/tw/BED/bed.html,https://gist.github.com/lanfon72/637b2e86dc063ea12eed,lanf0n,,python,
台中市,光田醫療社團法人光田綜合醫院(沙鹿總院),0936050029,沙鹿光田,,http://www.ktgh.com.tw/BednoInfo_Show.asp?CatID=80&ModuleType=Y,https://gist.github.com/cornguo/8719ec64666f9436f7e7,cornguo,,php,"please use big5-2003 instead of big5 for iconv // it will cause error: PHP Notice:  iconv(): Wrong charset, conversion from `big5-2003' to `utf-8' is not allowed, and there's no special characters that will cause problems"
台中市,光田醫療社團法人光田綜合醫院(大甲院區),1536030075,大甲光田,,http://www.ktgh.com.tw/BednoInfo_Show.asp?CatID=81&ModuleType=Y,https://gist.github.com/cornguo/00fcf3dde1297aec9cd3,cornguo,,php,
彰化縣,彰化基督教醫療財團法人彰化基督教醫院,1137010024,彰基,,http://www.cch.org.tw/news/er_news.aspx,https://gist.github.com/cornguo/e4405652885004488916,cornguo,,php,
彰化縣,秀傳醫療社團法人秀傳紀念醫院,0937010019,秀傳,,http://www.scmh.org.tw/,https://gist.github.com/t0mst0ne/5686e8581393339b2a7e,t0mst0ne,,py,
