county,name,hospital_sn,abbr_zh,英文縮寫,URL,scraper,author,verified_by,language,"#請先閱讀 https://g0v.hackpad.com/vtLwiUfYgcc"
嘉義縣,長庚醫療財團法人嘉義長庚紀念醫院,1140010510,嘉義長庚,,https://www.cgmh.org.tw/bed/erd/index.asp?loc=6,https://gist.github.com/cornguo/f1e01eff0c2610f6f002,cornguo,,php,
雲林縣,國立臺灣大學醫學院附設醫院雲林分院,0439010518,雲林台大,,http://reg.ntuh.gov.tw/EmgInfoBoard/Y0NTUHEmgInfo.aspx,https://gist.github.com/cornguo/136e005b346e28837d8e,cornguo,,php,
嘉義縣,佛教慈濟醫療財團法人大林慈濟醫院,1240030514,大林慈濟,,http://app.tzuchi.com.tw/tchw/ERInfo_DL/ERInformation.aspx,https://gist.github.com/t0mst0ne/34f78aab87ad2d07e271,t0mst0ne,,py,2016/3/1 inserted.
台南市,奇美醫療財團法人奇美醫院,1141310019,奇美,,http://www.chimei.org.tw/%E6%80%A5%E8%A8%BA%E5%8D%B3%E6%99%82%E8%A8%8A%E6%81%AF/main.aspx?ihosp=10,https://gist.github.com/lanfon72/14f08fc32ad0552e7059,lanf0n,,py,
台南市,奇美醫療財團法人佳里奇美醫院,1105050012,佳里奇美,,http://www.chimei.org.tw/%E6%80%A5%E8%A8%BA%E5%8D%B3%E6%99%82%E8%A8%8A%E6%81%AF/main.aspx,https://gist.github.com/lanfon72/f174221a2d6b06479c61,lanf0n,,py,"2015/2/25 inserted."
台南市,奇美醫療財團法人柳營奇美醫院,1141090512,柳營奇美,,http://www.chimei.org.tw/%E6%80%A5%E8%A8%BA%E5%8D%B3%E6%99%82%E8%A8%8A%E6%81%AF/main.aspx,https://gist.github.com/lanfon72/3a3221b3867121114e92,lanf0n,,py,"2015/2/25 inserted."
台南市,國立成功大學醫學院附設醫院,0421040011,成大,,http://www.hosp.ncku.edu.tw/nckm/ER/default.aspx,https://gist.github.com/cornguo/af0d8fcc780ff5c6d40b,cornguo,,php,
高雄市,財團法人私立高雄醫學大學附設中和紀念醫院,1302050014,高醫,,http://www.kmuh.org.tw/KMUHWeb/Pages/P04MedService/ERStatus.aspx,https://gist.github.com/cornguo/d693d58c227add505ed2,cornguo,,php,
高雄市,義大醫療財團法人義大醫院,1142120001,義大,,http://www.edah.org.tw/index.asp?set=9462,https://gist.github.com/cornguo/b45be84a609b8b2870c2,cornguo,,php,
高雄市,高雄榮民總醫院,0602030026,高雄榮總,,http://www.vghks.gov.tw/ISCenter/data/VGHKERINFO.PDF,https://gist.github.com/cornguo/65a441c91e7465982881,cornguo,,php,
高雄市,長庚醫療財團法人高雄長庚紀念醫院,1142100017,高雄長庚,,https://www.cgmh.org.tw/bed/erd/index.asp?loc=8,https://gist.github.com/cornguo/57734b63d39ae49a7e97,cornguo,,php,
屏東縣,安泰醫療社團法人安泰醫院,0943030019,安泰,,http://www.tsmh.org.tw/~webapp/b/web_dg/er_status/er_show.php,https://gist.github.com/lanfon72/9ab25384500b0bb4f02b,lanf0n,,py,"hint: https://gist.githubusercontent.com/clkao/4315df56fe8193138f67/raw/422ab0d3fedf0926ee0087ba529e52dd4a303e0e/gistfile1.txt"
花蓮縣,佛教慈濟醫療財團法人花蓮慈濟醫院,1145010010,慈濟,,http://hlm.tzuchi.com.tw/html/hlinfos.html,https://gist.github.com/t0mst0ne/db06df0ee642bd76de24,t0mst0ne,,py,
嘉義縣,戴德森醫療財團法人嘉義基督教醫院,1122010012,嘉基,,http://www.cych.org.tw/cychweb/er/er_news.aspx,https://gist.github.com/t0mst0ne/67450a18d5c30c7d928f,t0m,,py,
